Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
78,793,88.88888549804688,80.05453491210938,29324
79,795,87.64044952392578,78.75440216064453,30153
80,797,87.64044952392578,78.45797729492188,30601
81,798,87.00565338134766,77.90086364746094,29489
82,799,87.64044952392578,78.38783264160156,29914
83,800,86.36363983154297,76.49528503417969,29789
84,801,88.26815795898438,79.48983001708984,29544
85,802,87.00565338134766,77.76606750488281,30110
86,803,86.36363983154297,76.45138549804688,29660
87,804,87.00565338134766,77.14308166503906,29407
88,805,87.64044952392578,78.4839859008789,30497
89,806,87.64044952392578,78.63199615478516,29767
90,810,87.00565338134766,77.91494750976562,30450
91,811,87.00565338134766,77.69542694091797,30592
92,813,87.00565338134766,77.28062438964844,30354
93,814,86.36363983154297,76.81513214111328,30211
94,816,87.00565338134766,77.10511779785156,30135
95,609,87.64044952392578,78.0658187866211,31099
96,610,87.64044952392578,78.93782043457031,29548
97,611,87.64044952392578,78.17784118652344,30409
98,612,87.00565338134766,77.7435531616211,29395
99,613,87.00565338134766,77.56133270263672,30324
100,615,88.26815795898438,79.4037094116211,29302
101,616,85.71428680419922,75.59200286865234,30227
102,618,85.0574722290039,74.80579376220703,31014
103,633,87.64044952392578,78.12799072265625,30567
104,584,87.64044952392578,78.7547607421875,30595
105,585,87.00565338134766,77.17127227783203,29947
106,590,87.00565338134766,77.79583740234375,29764
107,594,87.00565338134766,77.87345886230469,30930
108,597,87.64044952392578,78.22834014892578,30133
109,598,87.64044952392578,78.31216430664062,29574
110,600,85.0574722290039,74.7190170288086,27389
111,601,86.36363983154297,76.4701156616211,30237
112,604,87.64044952392578,78.23176574707031,29606
113,605,87.00565338134766,77.96114349365234,30322
114,607,86.36363983154297,76.31655883789062,29660
115,817,87.64044952392578,78.26656341552734,29908
116,820,87.00565338134766,77.85942840576172,30043
117,822,88.26815795898438,79.09257507324219,30328
118,824,87.64044952392578,78.58914184570312,29946
119,825,87.00565338134766,77.92120361328125,30663
120,827,87.64044952392578,78.3384780883789,30218
121,828,87.64044952392578,78.05213165283203,30295
122,829,87.64044952392578,78.92652893066406,29528
123,835,87.64044952392578,78.32511901855469,29919
124,1297,87.00565338134766,77.96884155273438,30002
125,1298,87.00565338134766,77.44729614257812,30123
126,837,88.26815795898438,79.19445037841797,30408
127,840,88.26815795898438,79.37821960449219,29219
128,1159,87.00565338134766,77.93550109863281,29506
129,1160,87.64044952392578,78.0101318359375,29949
130,1161,86.36363983154297,76.49239349365234,30021
131,1162,85.0574722290039,74.65412139892578,30893
132,1163,85.71428680419922,75.60099792480469,30425
133,1164,88.26815795898438,79.55743408203125,29602
134,1167,88.26815795898438,79.0801010131836,29566
135,1169,85.71428680419922,75.74285888671875,30227
136,1170,86.36363983154297,76.49990844726562,30824
137,1171,87.64044952392578,78.41259002685547,29473
138,1283,87.00565338134766,77.5484848022461,29506
139,1284,87.00565338134766,77.71723175048828,30205
140,1286,87.64044952392578,78.25468444824219,30209
141,1288,87.64044952392578,78.48006439208984,30237
142,1289,87.00565338134766,77.16480255126953,29291
143,1294,87.64044952392578,78.0025863647461,30715
144,1295,85.71428680419922,75.13157653808594,30758
145,1296,87.64044952392578,78.58326721191406,29978
