Id_Conflict,F1-Score
0,94.47518341064453
1,96.18940795898438
2,97.1645458984375
3,96.18940795898438
4,96.18940795898438
5,97.2061962890625
6,97.2061962890625
7,97.2061962890625
8,96.55837677001954
9,96.55837677001954
10,97.2061962890625
11,97.1645458984375
12,97.1645458984375
13,97.2061962890625
14,96.45262390136719
15,96.45262390136719
16,97.1645458984375
17,96.95877380371094
18,96.95877380371094
19,97.1645458984375
20,97.2061962890625
21,97.1228955078125
22,97.1228955078125
23,97.1645458984375
24,96.05641082763673
25,96.05641082763673
26,97.1645458984375
27,97.1645458984375
28,95.75820983886719
29,95.71434997558593
30,95.71434997558593
31,95.75030578613281
32,96.07886291503907
33,95.71434997558593
34,95.71434997558593
35,97.1645458984375
36,97.1645458984375
37,97.1645458984375
38,97.2061962890625
39,95.64680145263672
40,94.9378939819336
41,94.9378939819336
42,97.2061962890625
43,96.10389770507813
44,95.33609741210938
